classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed:23
org::eclipse::mylyn::internal::trac::wiki::editor::TracWikiPageEditorInput,8,1,5,3,91,0,4,0,64.0,14.0,9,4,0,0.0,14,22.0,20.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::search::Messages,0,1,0,0,0,0,25,0,3.0,1.0,0,1,0,24.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::monitor::core::collection::DelegatingUsageCollector,3,1,2,1,45,1,3,0,39.0,10.0,14,2,0,0.0,10,22.0,9.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReplacementTokenProcessor,3,3,1,2,1,0,1,7,6.0,2.0,39,1,0,0.0,2,4.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::core::GzipPostMethod,1,1,1,0,3,0,1,0,16.0,3.0,0,1,0,0.0,3,6.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::GroupedTaskListContentProvider,9,3,1,8,6,0,2,1,39.0,4.0,19,1,1,0.0,3,20.0,11.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::ui::editor::AutoFoldPreferenceBlock,1,1,0,1,15,0,0,0,79.0,6.0,9,0,0,0.0,6,11.0,6.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::tracwiki::core::validation::TracWikiReferenceValidationRule,1,3,0,1,0,0,0,0,3.0,1.0,14,0,0,0.0,0,2.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::xplanner::ui::wizard::ProjectsViewerContentProvider,7,1,2,5,66,0,4,0,106.0,12.0,9,4,4,0.0,8,36.0,22.0,0,0,0,0,0,
org::eclipse::mylyn::internal::ide::ui::actions::FocusProjectExplorerAction,1,4,0,1,1,0,0,8,13.0,2.0,36,0,0,0.0,1,6.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::parser::markup::ContentState,21,1,20,1,210,1,10,0,75.0,21.0,15,10,0,0.0,16,26.0,24.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::wizard::Messages,0,1,0,0,0,0,13,0,3.0,1.0,0,1,0,12.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::actions::ToggleTaskActivationAction,7,1,3,4,28,0,2,0,41.0,8.0,4,1,1,0.0,7,28.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::ui::JiraTaskEditor,6,1,0,6,55,0,9,0,326.0,11.0,0,9,0,0.0,11,68.0,16.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::core::util::XML11Char,1,1,1,0,55,0,10,0,33.0,11.0,9,1,0,0.0,11,12.0,38.0,0,0,0,0,0,
org::eclipse::mylyn::bugzilla::deprecated::BugzillaTaskEditorFactory,9,2,0,9,10,0,1,0,37.0,5.0,15,1,0,0.0,5,17.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::commands::SubmitTaskHandler,1,1,0,1,0,0,0,0,13.0,1.0,0,0,0,0.0,1,5.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::service::web::JiraWebSession,15,1,4,12,66,0,10,0,164.0,12.0,9,9,5,0.0,2,77.0,31.0,1,0,0,0,0,
org::eclipse::mylyn::zest::tests::swt::GraphSnippet6,1,1,0,1,0,0,0,0,33.0,1.0,9,0,0,0.0,1,11.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::trac::core::model::TracTicketStatus,3,2,3,0,0,0,1,0,3.0,1.0,23,1,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::planner::PlannedTasksContentProvider,3,1,1,2,36,0,1,0,32.0,9.0,11,0,0,1.0,9,20.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::ui::TaskListImageDescriptor,0,1,0,0,10,0,5,0,32.0,5.0,0,4,1,0.0,2,11.0,9.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeAutomaticallyAction,2,1,1,1,1,0,1,0,11.0,2.0,0,0,0,0.0,2,6.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::trac::core::client::AbstractWikiHandler,5,1,5,0,10,1,0,0,0.0,5.0,9,0,0,0.0,5,5.0,0.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::commands::CollapseAllHandler,2,1,1,1,1,0,2,0,8.0,2.0,0,1,0,0.0,2,4.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::editor::dnd::OutlineDropTargetListener,7,1,1,6,78,0,3,0,114.0,13.0,9,3,4,0.0,9,37.0,27.0,1,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskDataDiff,11,1,2,9,21,0,7,0,105.0,7.0,9,7,3,0.0,4,55.0,25.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::model::Component,12,1,12,0,15,0,3,0,17.0,6.0,18,3,0,0.0,6,6.0,6.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::TicketLinkReplacementToken,2,2,1,1,6,0,0,0,9.0,4.0,22,0,0,0.0,1,5.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::viewer::annotation::BulletAnnotation,3,1,2,1,1,0,2,0,7.0,2.0,0,1,0,0.0,2,3.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::xplanner::core::DebugManager,2,1,0,2,15,0,0,0,18.0,6.0,9,0,0,0.0,6,14.0,6.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::views::TaskListDropAdapter,20,1,2,18,15,0,2,0,173.0,6.0,0,2,2,0.0,4,75.0,40.0,0,0,0,0,0,
org::eclipse::mylyn::internal::team::ui::actions::OpenCorrespondingTaskAction,18,1,3,16,21,0,4,0,164.0,7.0,0,4,2,0.0,5,59.0,53.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::net::ProgressMonitorInputStream,1,1,0,1,21,0,6,1,53.0,7.0,26,6,1,0.0,5,17.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::context::ui::FocusedViewerManager,18,2,7,13,210,0,7,0,152.0,21.0,17,7,2,0.0,18,74.0,37.0,2,1,1,1,0,
org::eclipse::mylyn::tasks::ui::wizards::AbstractRepositoryQueryPage,32,2,20,12,78,11,3,0,87.0,13.0,2,3,1,0.0,12,51.0,22.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaUiBridge,7,2,0,7,45,0,1,0,80.0,10.0,16,0,0,0.0,9,34.0,17.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::net::TimeoutOutputStream,7,1,1,6,36,0,10,1,192.0,9.0,35,10,5,0.0,4,42.0,37.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::ui::editor::FocusedJavaTypeProposalComputer,2,1,0,2,1,0,0,0,11.0,2.0,0,0,0,0.0,2,9.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::net::CloneableHostConfiguration,1,1,0,1,6,0,0,0,19.0,4.0,0,0,1,0.0,3,11.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::java::tests::xml::XmlResultUpdaterSearchListener,7,2,1,6,10,0,4,0,66.0,5.0,15,4,0,0.0,4,29.0,9.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::core::sync::SubmitJobListener,3,1,3,0,6,1,0,0,0.0,4.0,9,0,0,0.0,4,4.0,0.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasklist::ui::views::ImageTableCellEditor,4,1,3,1,66,0,4,0,116.0,12.0,0,3,1,1.0,4,35.0,22.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteUser,2,2,0,2,66,0,6,0,70.0,12.0,33,6,0,0.0,12,29.0,32.0,0,0,0,0,0,
org::xplanner::soap::IterationData,9,2,5,4,630,0,18,0,186.0,36.0,37,18,0,0.0,36,84.0,76.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::editor::KeywordsDialog,6,1,1,5,6,0,3,0,98.0,4.0,0,3,0,0.0,3,26.0,7.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugs::OpenBugzillaReportJob,3,1,0,3,1,0,2,0,15.0,2.0,9,2,0,0.0,2,10.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::ui::editors::AbstractAttributeEditor,40,1,32,8,253,15,7,0,84.0,23.0,9,7,0,0.0,18,53.0,28.0,0,0,0,0,0,
org::eclipse::mylyn::internal::team::ui::preferences::FocusedTeamPreferencePage,3,1,0,3,36,0,3,0,81.0,9.0,0,2,3,0.0,5,32.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::editor::HeadingProjectionAnnotation,2,1,2,0,1,0,1,0,6.0,2.0,0,1,0,0.0,2,2.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaSearchHandler,4,2,1,3,3,0,0,0,14.0,3.0,11,0,0,0.0,3,7.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::provisional::commons::ui::DatePicker,13,1,9,4,78,0,11,0,149.0,13.0,0,9,3,0.0,9,30.0,20.0,0,0,0,0,0,
org::eclipse::mylyn::internal::monitor::usage::editors::UsageEditorPart,14,1,3,11,66,2,4,0,190.0,12.0,0,0,0,0.0,7,65.0,14.0,0,0,0,0,0,
org::eclipse::mylyn::internal::provisional::commons::ui::DatePickerPanel,4,1,1,3,55,0,6,0,115.0,11.0,0,6,3,0.0,8,39.0,13.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::ui::editors::AbstractTaskEditorPage,79,2,36,50,1711,4,40,0,829.0,59.0,2,24,13,0.0,40,381.0,127.0,12,8,1,0,1,
org::eclipse::mylyn::tasks::ui::editors::AbstractRenderingEngine,3,1,3,0,0,1,0,0,0.0,1.0,9,0,0,0.0,1,1.0,0.0,0,0,0,0,0,
org::eclipse::mylyn::team::ui::AbstractCommitTemplateVariable,2,1,2,0,10,19,2,0,16.0,5.0,9,0,0,0.0,5,6.0,6.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::actions::NewTaskFromSelectionAction,7,1,2,5,6,0,2,0,99.0,4.0,0,1,0,0.0,4,25.0,5.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::viewer::Messages,3,1,2,1,1,0,2,0,9.0,2.0,9,2,1,0.0,1,3.0,2.0,1,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::search::SearchResultSorterPriority,2,1,1,1,3,0,0,0,21.0,3.0,0,0,0,0.0,3,9.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::ui::editors::AbstractTaskEditorPageFactory,2,1,2,0,28,7,5,0,12.0,8.0,9,1,0,0.0,8,8.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::PlanningPerspectiveFactory,0,1,0,0,6,0,0,0,38.0,4.0,9,0,0,0.0,4,11.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::trac::core::TracCorePlugin,15,1,11,5,28,0,5,0,55.0,8.0,0,2,0,0.0,6,26.0,16.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::mediawiki::core::block::HeadingBlock,9,3,1,8,3,0,3,4,31.0,3.0,43,3,0,0.0,3,17.0,5.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::MilestoneLinkReplacementToken,2,2,1,1,6,0,0,0,9.0,4.0,22,0,0,0.0,1,5.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::editor::MarkupProjectionViewer,2,1,1,1,10,0,2,0,26.0,5.0,0,1,0,0.0,5,11.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::editor::FlagAttributeEditor,5,2,0,5,28,0,3,0,129.0,8.0,32,3,1,0.0,7,86.0,18.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::dialogs::TaskCompareDialog,7,1,4,3,21,1,7,0,169.0,7.0,0,7,0,0.0,1,43.0,13.0,0,0,0,0,0,
org::eclipse::mylyn::internal::xplanner::core::service::exceptions::ServiceUnavailableException,2,1,2,0,0,0,1,0,3.0,1.0,26,1,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::util::anttask::MarkupToDitaTask,15,2,1,14,210,0,9,0,227.0,21.0,12,8,2,0.0,19,129.0,46.0,0,0,0,0,0,
org::eclipse::mylyn::internal::ide::ui::actions::FocusProblemsListAction,0,3,0,0,0,0,0,8,3.0,1.0,29,0,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::service::JiraRemoteException,0,2,0,0,0,1,1,0,3.0,1.0,26,1,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::tasks::NewTaskFromJunitResultViewAction,2,1,0,2,3,0,3,0,43.0,3.0,9,2,0,0.0,3,12.0,5.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::mediawiki::core::phrase::SimplePhraseModifier,1,3,1,0,0,0,0,1,3.0,1.0,28,0,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::ide::ant::AntContextLabelProvider,3,2,0,3,6,0,1,0,13.0,4.0,17,0,0,0.0,0,8.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivitySorter,6,1,1,5,28,1,8,0,54.0,8.0,0,1,0,0.0,2,26.0,17.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::MediaWikiMarkupTaskEditorExtension,1,3,0,1,0,0,0,1,3.0,1.0,21,0,0,0.0,1,3.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::ui::editor::MylarJavaElementDescriptor,1,1,0,1,10,0,3,0,34.0,5.0,0,3,1,0.0,2,13.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::EclipseTaskRepositoryLinkProvider,4,2,1,3,1,0,0,0,12.0,2.0,16,0,1,0.0,1,7.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::core::TaskActivityAdapter,2,1,2,0,3,0,0,0,4.0,3.0,11,0,0,0.0,3,3.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::trac::ui::wizard::TracFilterQueryPage,9,3,0,9,78,0,7,0,164.0,13.0,14,7,7,0.0,6,64.0,23.0,0,0,0,0,0,
org::eclipse::mylyn::commons::core::StatusHandler,229,1,223,7,10,0,1,0,39.0,5.0,9,1,3,0.0,2,28.0,11.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaVotesEditor,3,2,0,3,21,0,5,0,57.0,7.0,32,5,0,0.0,6,23.0,7.0,0,0,0,0,0,
org::eclipse::mylyn::internal::trac::wiki::TracWikiPlugin,1,1,1,0,6,0,2,0,13.0,4.0,0,1,0,0.0,4,6.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::ui::wizards::JiraRepositorySettingsPage,13,4,1,12,45,0,16,25,292.0,10.0,78,16,1,0.0,4,93.0,23.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::core::AbstractQueryHit,3,1,1,2,325,1,9,0,109.0,26.0,19,3,0,0.0,24,41.0,32.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::ui::actions::FocusBrowsingPerspectiveAction,5,2,0,5,10,0,4,8,71.0,5.0,25,4,1,0.0,4,33.0,13.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::twiki::core::block::DefinitionListBlock,5,3,1,4,6,0,3,4,40.0,4.0,43,3,0,0.0,3,20.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteProjectRoleActors,2,2,0,2,28,0,4,0,49.0,8.0,39,4,0,0.0,8,17.0,18.0,0,0,0,0,0,
org::eclipse::mylyn::internal::monitor::reports::ui::actions::EclipseUsageSummaryAction,4,1,1,3,6,0,1,0,68.0,4.0,9,0,0,1.0,4,21.0,9.0,0,0,0,0,0,
org::eclipse::mylyn::zest::core::viewers::internal::GraphModelFactory,7,2,1,6,10,0,1,0,96.0,5.0,45,0,1,1.0,3,53.0,27.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::ui::CompositeElementImageDescriptor,1,1,1,0,6,0,6,0,29.0,4.0,0,3,1,0.0,1,11.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::net::TimeoutInputStream,5,1,0,5,91,0,11,1,205.0,14.0,26,11,8,0.0,6,49.0,43.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::WikiText,9,1,8,1,21,0,1,0,20.0,7.0,9,0,1,0.0,6,19.0,7.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::wizards::NewTaskWizard,0,2,0,0,0,0,0,0,3.0,1.0,5,0,0,0.0,1,1.0,1.0,1,1,0,0,0,
org::eclipse::mylyn::wikitext::core::validation::ValidationProblem,17,1,15,2,78,0,6,0,77.0,13.0,9,5,0,0.0,13,28.0,24.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemotePermissionScheme,6,2,1,5,28,0,4,0,55.0,8.0,41,4,0,0.0,8,22.0,21.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::actions::ShowTasksUiLegendAction,2,1,0,2,6,0,1,0,21.0,4.0,9,1,0,0.0,4,10.0,5.0,1,1,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::wizard::AbstractBugzillaReportWizard,0,1,0,0,15,0,5,0,18.0,6.0,0,1,0,0.0,4,10.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::TaskActivityMonitor,15,1,5,11,21,0,5,0,71.0,7.0,9,5,0,0.0,6,59.0,21.0,0,0,0,0,0,
org::eclipse::mylyn::internal::monitor::usage::wizards::NewUsageSummaryEditorWizard,5,1,1,4,6,0,2,0,34.0,4.0,0,2,0,0.0,4,18.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::ui::action::Messages,0,1,0,0,0,0,7,0,3.0,1.0,0,1,0,6.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::parser::builder::AbstractXmlDocumentBuilder,12,2,8,4,36,4,4,1,51.0,9.0,27,1,0,0.0,6,21.0,20.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::actions::OpenRepositoryTaskAction,9,1,2,7,21,0,1,0,64.0,7.0,0,1,2,0.0,5,33.0,12.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::dev::properties::MylynPropertiesSourceAdapterFactory,5,1,1,4,3,0,0,0,18.0,3.0,18,0,0,0.0,3,7.0,10.0,0,0,0,0,0,
org::eclipse::mylyn::internal::monitor::reports::preferences::UiUsageReportsPreferencePage,3,1,0,3,21,0,2,0,71.0,7.0,0,2,2,0.0,4,27.0,9.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::views::TaskTableLabelProvider,1,1,1,0,21,0,1,0,47.0,7.0,0,1,0,0.0,7,12.0,15.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::parser::markup::token::LiteralReplacementTokenProcessor,3,3,1,2,1,0,1,7,6.0,2.0,39,1,0,0.0,2,4.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::xplanner::core::XPlannerClientManager,16,1,2,14,105,0,3,0,173.0,15.0,9,3,3,0.0,10,103.0,30.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::confluence::validation::ConfluenceReferenceValidationRule,1,3,0,1,0,0,0,0,3.0,1.0,14,0,0,0.0,0,2.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::zest::layouts::exampleStructures::SimpleFilter,0,1,0,0,0,0,0,0,3.0,1.0,10,0,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::internal::trac::core::model::TracTicketResolution,3,2,3,0,0,0,1,0,3.0,1.0,23,1,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::commons::net::WebLocation,7,2,5,2,6,0,2,0,15.0,4.0,15,2,0,0.0,4,8.0,5.0,0,0,0,0,0,
org::eclipse::mylyn::internal::xplanner::ui::XPlannerImages,4,1,1,3,10,0,13,0,34.0,5.0,9,3,4,0.0,1,18.0,8.0,1,1,0,0,0,
org::eclipse::mylyn::internal::jira::ui::editor::DateTimeAttributeEditor,7,2,1,6,10,0,2,0,42.0,5.0,32,2,0,0.0,4,27.0,6.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::wizards::NewAttachmentWizardDialog,3,1,2,1,1,0,1,0,20.0,2.0,0,1,0,0.0,1,8.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::zest::core::viewers::internal::SharedMessages,0,1,0,0,0,0,3,0,0.0,0.0,9,0,0,3.0,0,0.0,0.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::parser::markup::IdGenerationStrategy,1,1,1,0,0,2,0,0,0.0,1.0,9,0,0,0.0,1,1.0,0.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::views::TaskListContentProvider,18,2,7,11,78,3,0,1,140.0,13.0,10,0,4,0.0,7,66.0,35.0,1,0,1,0,1,
org::eclipse::mylyn::internal::tasks::ui::actions::Messages,0,1,0,0,0,0,116,0,3.0,1.0,0,1,0,115.0,1,2.0,1.0,1,1,0,0,0,
org::eclipse::mylyn::internal::provisional::commons::ui::CommonImages,53,1,46,7,36,0,81,0,121.0,9.0,9,9,3,0.0,6,54.0,26.0,2,2,0,0,1,
org::eclipse::mylyn::internal::tasks::ui::util::TasksUiMenus,0,1,0,0,1,0,5,0,95.0,2.0,9,5,1,0.0,1,8.0,7.0,0,0,0,0,0,
org::eclipse::mylyn::zest::layouts::algorithms::AbstractLayoutAlgorithm,25,1,7,18,1176,6,23,0,569.0,49.0,27,15,13,0.0,19,293.0,116.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::ui::TasksUiUtil,53,1,29,26,105,0,1,0,253.0,15.0,9,0,4,0.0,11,132.0,57.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::views::TaskActivityView,13,1,0,13,210,0,19,0,316.0,21.0,0,16,12,0.0,9,94.0,37.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::util::TaskListSaveManager,8,1,1,8,105,0,6,0,164.0,15.0,9,5,2,0.0,13,85.0,32.0,0,0,0,0,0,
org::eclipse::mylyn::internal::context::ui::actions::ToggleDecorateInterestLevelAction,1,1,0,1,3,0,2,0,18.0,3.0,0,0,1,0.0,2,11.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::tasks::ui::TaskListDataMigration,6,1,0,6,21,0,1,0,184.0,7.0,9,1,0,0.0,7,97.0,32.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::core::AbstractTaskContainer,80,2,75,5,153,6,3,0,87.0,18.0,33,3,1,0.0,17,47.0,26.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::commands::ViewSourceHandler,1,1,0,1,21,0,3,0,46.0,7.0,0,2,1,0.0,6,19.0,14.0,0,0,0,0,0,
org::eclipse::mylyn::context::core::AbstractContextListener,1,1,1,0,28,17,0,0,16.0,8.0,9,0,0,0.0,8,8.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::planner::RemoveTaskAction,2,1,1,1,1,0,2,0,15.0,2.0,0,1,0,0.0,2,6.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::zest::layouts::dataStructures::DisplayIndependentDimension,0,1,0,0,1,0,2,0,7.0,2.0,9,0,0,2.0,2,2.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::editor::operations::AbstractDocumentCommand,4,1,3,1,10,1,1,0,24.0,5.0,9,0,0,0.0,3,14.0,5.0,0,0,0,0,0,
org::eclipse::mylyn::internal::provisional::commons::ui::DelayedRefreshJob,6,1,2,4,21,3,6,0,47.0,7.0,0,3,0,0.0,6,25.0,11.0,0,0,0,0,0,
org::eclipse::mylyn::internal::jira::core::wsdl::soap::RemoteAuthenticationException,1,2,0,1,21,0,3,0,40.0,7.0,25,3,0,0.0,7,12.0,12.0,0,0,0,0,0,
org::eclipse::mylyn::zest::tests::swt::GraphSnippet5,2,1,0,2,0,0,2,0,85.0,1.0,9,0,0,0.0,1,11.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::ConfluenceMarkupTaskEditorExtension,1,3,0,1,0,0,0,1,3.0,1.0,21,0,0,0.0,1,3.0,1.0,0,0,0,0,0,
org::eclipse::mylyn::zest::core::widgets::GraphContainer,6,3,2,5,6,0,14,13,12.0,4.0,75,13,0,1.0,4,25.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::internal::wikitext::ui::properties::ProjectPropertyPage,8,1,0,8,10,0,2,0,77.0,5.0,0,2,0,0.0,3,42.0,9.0,2,1,0,0,0,
org::eclipse::mylyn::internal::monitor::monitors::SelectionMonitor,4,1,0,4,6,0,8,0,106.0,4.0,0,4,1,0.0,2,34.0,29.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::ui::JavaStackTraceHyperlinkAdapter,2,1,0,2,6,0,0,0,105.0,4.0,0,0,3,0.0,1,32.0,18.0,0,0,0,0,0,
org::eclipse::mylyn::internal::sandbox::ui::views::ActiveViewDropAdapter,7,1,2,5,3,0,1,0,22.0,3.0,0,0,0,0.0,3,13.0,5.0,0,0,0,0,0,
org::eclipse::mylyn::wikitext::core::parser::markup::MarkupLanguageConfiguration,11,1,6,5,153,0,7,0,77.0,18.0,18,7,0,0.0,17,39.0,18.0,0,0,0,0,0,
org::eclipse::mylyn::internal::context::ui::wizards::ContextAttachWizard,7,1,2,5,3,0,3,0,16.0,3.0,0,3,0,0.0,3,13.0,3.0,0,0,0,0,0,
org::eclipse::mylyn::internal::commons::ui::CompositeContainerImageDescriptor,1,1,1,0,6,0,3,0,28.0,4.0,0,2,1,0.0,1,11.0,8.0,0,0,0,0,0,
org::eclipse::mylyn::internal::java::ui::JavaDeclarationsFilter,1,1,1,0,1,0,0,0,3.0,2.0,0,0,0,0.0,2,2.0,2.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::util::TasksUiExtensionReader,17,1,2,16,55,0,41,0,293.0,11.0,9,2,9,0.0,2,146.0,41.0,1,0,0,0,0,
org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerQueryWizard,11,1,2,9,10,0,3,0,55.0,5.0,0,3,0,0.0,5,27.0,11.0,0,0,0,0,0,
org::eclipse::mylyn::internal::bugzilla::core::RepositoryConfiguration,30,1,19,12,861,0,17,0,462.0,42.0,18,17,2,0.0,40,292.0,120.0,2,1,0,0,1,
org::eclipse::mylyn::internal::sandbox::ui::editors::ExtensibleBugzillaTaskEditorPageFactory,4,3,0,4,3,0,0,4,10.0,3.0,23,0,0,0.0,3,7.0,4.0,0,0,0,0,0,
org::eclipse::mylyn::internal::tasks::ui::util::TasksUiInternal,152,1,114,42,903,0,1,0,672.0,43.0,9,0,4,0.0,39,299.0,140.0,1,0,0,0,0,
